No.,Bahnaric,Vietnamese,PoS tag
1380,pơkau 'ba,bông lúa,Noun
1381,"pơkeh, pơđi",nốt,Noun
1382,pơkep,ép,Verb
1383,pơkhô,sấy,Verb
1384,pơkuĕ pơkuă,ẩu,Adverb
1385,pơlah,"tấm, gạo tấm",Noun
1386,pơlang dru,"khướu, con khướu",Noun
1387,pơlĕch,nách,Noun
1388,pơlĕi,"buôn, làng",Noun
1389,pơlĕi pơla,bản làng,Noun
1390,pơlêch,"cho ra, làm ra",Verb
1391,pơliêu,chào mào,Noun
1392,pơlô,"lô̆, không lãi",Verb
1393,pơlôm hlĕnh,giả dối,Adjective
1394,pơluk pơlăk,"cục, cục cằn",Adjective
1395,"pơlung, pơdô","an ủi, dô̆ dành",Verb
1396,pơlŭk,"dốt, dốt nát",Adjective
1397,pơm,làm,Verb
1398,pơm ăn đe 'yŏk 'boi,làm gương,Verb
1399,pơm đôi,"làm bạn, kết bạn",Verb
1400,pơm liêm,làm dáng,Verb
1401,pơm năng,thử,Verb
1402,pơm pơgơm,ra oai,Verb
1403,pơm pơlôm,giả vờ,Verb
1404,pơm sa,làm ăn,Verb
1405,pơm sơ̆i,xây,Verb
1406,pơnai,"mái chèo, đũa cả",Noun
1407,pơna1 chơraih,que cời,Noun
1408,"pơnal, pơnar",cánh,Noun
1409,pơnam,"chăm, siêng năng",Adjective
1410,pơnam deh,chăm chỉ,Adjective
1411,pơnang,"cau, cây cau",Noun
1412,pơnăt,mít,Noun
1413,hơniê̆,độc,Adjective
1414,pơngot,đói,Adjective
1415,pơnhan,bát,Noun
1416,pơnhan grông,bát lớn,Noun
1417,pơnhan ken,bát nhỏ,Noun
1418,pơnhuôl,"tê tê, con trút",Noun
1419,pơnil hnam,vách nhà,Noun
1420,pơnŭ,đống,Noun
1421,pơ'nhau nưih,làm lành,Verb
1422,pơ'nuôi,nóc,Noun
1423,pơ-ol,nghẹn,Adjective
1424,pơ-ŏ,"xoài, quả xoài",Noun
1425,pơsau,"rể, chú rể, con rể",Noun
1426,pơsĕi,sắt,Noun
1427,"pơsel, yang yaI",én,Noun
1428,pơsiêm,bón,Verb
1429,pơsoh,phổi,Noun
1430,pơsuh,giấy,Noun
1431,pơtăm 'ba,cấy,Verb
1432,pơtăm,trồng,Verb
1433,pơtău,mông,Noun
1434,pơtep,"hàn, gắn, dán",Verb
1435,pơtho,"giảng, dạy",Verb
1436,pơtho akhan,"khuyên bảo, dạy dỗ",Verb
1437,"pơuh, pơtăng","phình, phình ra",Verb
1438,pơth nưih,mạnh dạn,Adjective
1439,pơtŏ,"hâm, hâm nóng",Verb
1440,pơtŏk,"bỏng, bị bổng",Adjective
1441,pơtơm,bắt đầu,Verb
1442,pơtơm lêch,ra đời,Verb
1443,pơtơ̆p,"dạy, dạy dỗ",Verb
1444,pơtơ̆p pơtho,"chỉ dẫn, bày vẽ",Verb
1445,pơtơ̆p thê jŭk,tập thể dục,Verb
1446,"pơtuôch, pơtĕng",nhọt,Adjective
1447,"pơ-ung, pơkiu",làm nũng,Verb
1448,pơwai,"oai, oai vệ",Adjective
1449,pơyat,"bạnh, bạnh ra",Verb
1450,pơ̆k,ngã,Verb
1451,pơ̆n,dám,Verb
1452,pra,sàn,Noun
1453,pra hnam ŭnh,giàn bếp,Noun
1454,prah,bắn,Verb
1455,praih,"dàn, dàn ra",Verb
1456,pran,"mạnh, khỏe",Adjective
1457,prau,"rồng, con rồng",Noun
1458,pre hơ,chúng nó - hai người,Pronoun
1459,pring,lóa,Adjective
1460,pro,cà,Noun
1461,prok,"sóc, con sóc",Noun
1462,prol,gội,Verb
1463,prơng tep,"chõng, cái chõng",Noun
1464,pui,vui,Adjective
1465,puôl,bí,Adjective
1466,puôn,bốn - 4,Numeral/Quantity
1467,pŭ,"cõng, địu",Verb
1468,rai,"quãi, vãi, gieo",Verb
1469,raih,"bày ra, dàn ra",Verb
1470,rang,sáng,Adjective
1471,rang agah agơi,sáng chói,Adjective
1472,rang jơdah,sáng rực,Adjective
1473,rang liêm,sáng sủa,Adjective
1474,răp,"phòng, để phòng",Verb
1475,re,kêu,Verb
1476,reh,gảy đàn,Verb
1477,rĕk rĕk,róc rách,Adjective
1478,rĕnh rê̆,"ngay, liền",Adverb
1479,rơ̆u,đánh thức,Verb
1480,ren,rèn,Verb
1481,riêh,rễ,Noun
1482,"riêng, năm riêng","săn, đi săn",Verb
1483,riêng hơyô,săn bắn,Verb
1484,riê̆,"hầm , ninh",Noun
1485,ring khing rang khang,ào ào,Adjective
1486,ring ring,nhộn nhịp,Adjective
1487,roi,kể,Verb
1488,rok,dọc theo,Adjective
1489,rok jih,"quanh, xung quanh",Noun
1490,rong,nuôi,Verb
1491,rong sữ,chăm sóc,Verb
1492,rŏch,mổ,Verb
1493,rôp,"bắt, giữ, tóm",Verb
1494,rôp hnhĕi,bắt thăm,Verb
1495,rôp ti,bắt tay,Verb
1496,rôp 'yŏk,"chộp, chụp lấy",Verb
1497,rơdah,ánh sáng,Noun
1498,rơdu,"chùng, chùng xuống",Adjective
1499,rơih,chọn,Verb
1500,rơret akău,rùng mình,Verb
1501,rơ̆u `,lay,Verb
1502,ruh,trụi,Adjective
1503,ruh rok,úa,Verb
1504,ruôh,tháo,Verb
1505,ruôih,voi,Noun
1506,ruôt,mua,Verb
1507,ruô̆ al,"siết, siết chặt",Verb
1508,sa,ăn,Verb
1509,sa et,ăn uống,Verb
1510,sa uĕi,ăn ở,Verb
1511,sang glang,đẹp đẽ,Adjective
1512,sap,nhạt,Adjective
1513,să,rộng,Adjective
1514,să lang tang,rộng mênh mông,Adjective
1515,sĕi,xay,Verb
1516,săng,dao,Noun
1517,săng chơkep,"kéo, cái kéo",Noun
1518,săp,rấm,Noun
1519,săt,chắt - con của cháu,Noun
1520,său,cháu - con của con,Noun
1521,sem,chim,Noun
1522,sem bri,"thú, thú vật",Noun
1523,sem blang kĕi,vành khuyên,Noun
1524,"sem chap, sem prum","sẻ, chim sẻ",Noun
1525,sem diĕ,"vẹt, con vẹt",Noun
1526,sem hlum,"bói cá, chim bói cá",Noun
1527,sem klang,chim diều hâu,Noun
1528,sem kơtơp,"cu, chim cu",Noun
1529,sem kơwơng,chim công,Noun
1530,sem kring,chim phương hoàng,Noun
1531,sem lơ-oh,cú mèo,Noun
1532,"sem prum, sem chap",chim sẻ,Noun
1533,sen,"sen, hoa sen",Noun
1534,seng suk,xẻng,Noun
1535,sêp,hái,Verb
1536,"siêm rong, siêm tơme",săn sóc,Verb
1537,sil,đào,Verb
1538,sil,kín,Adjective
1539,sĭch,chát,Adjective
1540,sĭn,chín,Adjective
1541,sĭn,chín - 9,Numeral/Quantity
1542,sĭt,"khâu, may",Verb
1543,sĭt 'boi,thêu,Verb
1544,so,nạo,Verb
1545,soh jrênh,hương,Noun
1546,soh,"châm, đốt",Verb
1547,sŏk,lông,Noun
1548,sŏk kang,râu,Noun
1549,sŏk kơ̆l,tóc,Noun
1550,sŏk miêm,"râu, ria",Noun
1551,sôk,"dúi, con dúi",Noun
1552,sơdrô,rượu,Noun
1553,sơdrô triêng,rượu cần,Noun
1554,sơđa,thày mo,Noun
1555,sơđiêng đak,"suối, khe",Noun
1556,sơgiêng 'long,cành cây,Noun
1557,sơhmanh,"chơi, trò chơi",Noun
1558,sơhmĕch,muỗi,Noun
1559,sơhmĕch wông,muỗi anôphen,Noun
1560,sơhngeu,"cóng, lạnh cóng",Adjective
1561,sơhngeu sơngot,lạnh lẽo,Adjective
1562,sơhngliêng,vai,Noun
1563,sơhngơ̆m,hơi thở,Noun
1564,sơlih,"thay , đổi",Verb
1565,sơlung afău,"mô, mả",Noun
1566,sơm,"với, và, bằng",Preposition
1567,sơmah,"cúng, khấn, cầu",Verb
1568,sơmah sơmat,cúng bái,Verb
1569,sơmah wă tuk atơ̆u,làm ma,Verb
1570,sơn,"gối, kê",Noun
1571,sơnăm,"năm, tuổi",Noun
1572,Sơnăm 'nau,sang năm,Adverb
1573,sơnăm 'nau piêu,sang năm nữa,Adverb
1574,sơnăm ơ̆u,năm nay,Noun
1575,sơnăm rŏng,năm ngoái,Noun
1576,sơnĕnh,răng,Noun
1577,sơnglŏng,"sao, ngôi sao",Noun
1578,sơnglŏng bơgê,sao mai,Noun
1579,sơnglơ̆ng tong măng,sao hôm,Noun
1580,srah,quật,Verb
1581,sơrăt,thái,Verb
1582,sơreh,róc,Verb
1583,sơ̆,xới,Verb
1584,sơ̆ kih,ngày xưa,Noun
1585,sơ̆p hla bơ-al,sách,Noun
1586,srah,đập,Verb
1587,srang,phóng,Verb
1588,sră,"chiếu, chiếu vào",Verb
1589,sră,"cung, nó, ná",Noun
1590,srĕ,khắc,Verb
1591,srê,nợ,Verb
1592,sriêng,"khô, ráo",Adjective
1593,sriêng hŏnh,khô héo,Adjective
1594,sriêng sreh,khô khan,Adjective
1595,sriễ,cạn,Adjective
1596,sring,chuỗi,Noun
1597,sring srung,chuồn chuồn,Noun
1598,srok,đơm,Verb
1599,srôp,cưới,Verb
1600,srôp kơdiŏng,lấy vợ,Verb
1601,srôp tơhnglo,lấy chồng,Verb
1602,srơ̆p,"bâu, đậu, mặc",Verb
1603,srơ̆p hlŭt,ăn mặc,Verb
1604,sruôih,sơ̆m,Adjective
1605,suai,say,Adjective
1606,"sum, kă sum",nhà kho,Noun
1607,sun,rặng,Noun
1608,sŭng,đái,Verb
1609,sung,"rìu, cái rìu",Noun
1610,suôn,lên,Verb
1611,sut,"ong, con ong, xóa, lau, chùi",Verb
1612,sŭp,"úp, đậy, đội",Verb
1613,"sưt rŏng, wih rŏng",quay lại,Verb
1614,sư̆,"đặt, để",Verb
1615,sư̆ kah,"dành, dành lại",Verb
1616,sư̆ akap,đặt bẫy,Verb
1617,"sư̆ amăn, sư̆ dĕng",tích trữ,Verb
1618,sư̆ ăn,nhường,Verb
1619,sư̆ anhơl,biết ơn,Adjective
1620,sư̆ lơ̆m klak,để bụng,Verb
1621,sư̆ tơ'boh ăn kơđe,trưng bày,Verb
1622,tach,tát,Verb
1623,tak,"giáo, cái giáo",Noun
1624,takơl,"ngả, ngả xuống",Verb
1625,tam,kịp,Adjective
1626,tanh,"dệt, đan",Verb
1627,tap,"vỗ, tát",Verb
1628,ta,"rải, tãi",Verb
1629,tăl,tầng lớp,Noun
1630,tăng,đắng,Adjective
1631,tăp,chọc,Verb
1632,tăp,"giáp với, liền kề",Verb
1633,tơ̆p bơ-al,vở,Noun
1634,tăp dal,xung quanh,Noun
1635,tăp trôm,chọc lỗ,Verb
1636,tău hoa,tàu hỏa,Noun
1637,teh,đất,Noun
1638,teh bri,giang sơn,Verb
1639,teh brữ,đất cằn,Noun
1640,teh chuôh,đất cát,Noun
1641,teh dal hnam,vườn,Noun
1642,teh đak,"đất nước, tổ quốc",Noun
1643,teh liêm,đất màu mỡ,Noun
1644,teh kơtă,đất sét,Noun
1645,teh tơmăn,"đồng bằng, bãi",Noun
1646,teng tong,bập bềnh,Adjective
1647,tep,ngủ,Verb
1648,tep hyơt,ngủ quên,Verb
1649,"tep hlêk, tep pok",ngủ say,Adjective
1650,tep hlơ̆k,"mơ, mê ngủ",Verb
1651,tĕch,bán,Verb
1652,tĕch bơdro,buôn bán,Verb
1653,tĕk wĕk,bọ gậy,Noun
1654,theng,"chốt, lẫy, cò",Verb
1655,thê lưng,tốt đẹp,Adjective
1656,thoi,theo,Verb
1657,thŏng,thuyền,Noun
1658,"thô̆ pŭn, thô̆ ai","may, may mắn",Adjective
1659,"thu , lơhing",khát,Adjective
1660,thuô,thua,Adjective
1661,thuôi,ngắm,Verb
1662,thuôk kơ'ne,"bả chuột, thuốc chuột",Noun
1663,thuôk ngoi phau,thuốc súng,Noun
1664,thuôl,thổi,Verb
1665,thư năng kah,nếm,Verb
1666,thư̆,thứ,Noun
1667,ti,tay,Noun
1668,tê̆i,theo,Verb
1669,tiêm,tiêm,Verb
1670,tiêng,đuôi,Noun
1671,tiêng jok,"phong lan, cây phong lan",Noun
1672,tiê̆,"theo, đuổi",Verb
1673,"tih, grông","to, lớn",Adjective
1674,tol,chiều dài,Noun
1675,ton pơnưng,đánh trống,Verb
1676,tong măng,nửa đêm,Noun
1677,tong sră,cánh nỏ,Noun
1678,top,"cụp, cụp lại",Verb
1679,tŏ,"nóng, nắng",Adjective
1680,tŏ,"ngôi, con, hòn",Determiner
1681,"tŏ, drŏng, hlak, pôm, gĕl…","cái, chiếc, con…",Determiner
1682,tŏ deh,"oi, oi bức",Adjective
1683,tŏ chơ-uh chơ-ông,nóng nực,Adjective
1684,tŏ phang,hạn hán,Adjective
1685,tŏk,lội,Verb
1686,tŏm,đâm,Verb
1687,tôn chinh,đánh chiêng,Verb
1688,tôn kơlok,đánh đàn,Verb
1689,tơbang,trưng bày,Verb
1690,tơbla măt,hoa mắt,Adjective
1691,tơblah,"chiến đấu, chiến tranh",Verb
1692,tơbluôch,tuột,Verb
1693,tơ'băl,dẻo,Adjective
1694,tơ'băng,măng,Noun
1695,tơ'bŏch,ghẻ,Noun
1696,tơ'bơ̆l,"đáp, đáp lời",Verb
1697,"tơ bơ̆l, tơsi",hót,Verb
1698,tơ'bra,cành,Noun
1699,tơchoh,băm,Verb
1700,tơchuang,chéo,Adjective
1701,tơdăm,nam thanh niên,Noun
1702,tơdrong,"chuyện, điều, thứ, việc",Noun
1703,tơdrong diêng diêu,tục lệ,Noun
1704,tơdrong kră sơ̆,truyện cổ tích,Noun
1705,tơdrong sơmĕnh,đồ chơi,Noun
1706,tơdrong,bài,Noun
1707,tơdrong kơdŏ suang,điệu múa,Noun
1708,tơdrong joh,điệu hát,Noun
1709,tơgel,"dốc, đèo",Noun
1710,tơgong,cẳng chân,Noun
1711,tơgŭm,giúp,Verb
1712,tơhlăk,"kẹt, tắc, nghẽn",Adjective
1713,tơhlông,"then, cái then, cài",Noun
1714,tơhngam,tám - 8,Numeral/Quantity
1715,tơhnglo,"đàn ông, nam, chồng",Noun
1716,tơhning hla 'long,rợp bóng cây,Verb
1717,tơja bơluk bơluk,nói lảm nhảm,Verb
1718,tơja 'beh,nói thầm,Verb
1719,tơja tơhlăk tơhlăk,ấp úng,Adjective
1720,tơjăt,"gập, gấp",Verb
1721,tơjĕng,bàn cãi,Verb
1722,tơjil,"húc, đụng",Verb
1723,tơjrăng,phản đối,Verb
1724,tơjroh tơjot,thi đua,Verb
1725,"tơjrưm, tơpau","gặp, tiếp xúc",Verb
1726,tơkal,cầu khẩn,Verb
1727,tơkach tơkal,cầu khẩn,Verb
1728,tơkan,"đến, hướng, phía",Verb
1729,tơkai,"chối, chối cãi",Verb
1730,tơklah,"đai, vành đai",Noun
1731,tơklep,"sát, gần",Adjective
1732,tơkot,kỳ đà,Noun
1733,tơkơi,"ghềnh, thác",Noun
1734,tơkơn,"đè, chồng lên",Verb
1735,tơkul tơkul,cuồn cuộn,Adjective
1736,tơkul kơtăng,quỳ,Verb
1737,tơlach,cãi,Verb
1738,tơlach tơ'bơ̆i,cãi lộn,Verb
1739,tơlah,chia tay,Verb
1740,tơlĕi,"dây, sợi dây",Noun
1741,tơlĕi bri,dây rừng,Noun
1742,tơliĕ,"sáo, cái sáo",Noun
1743,tơ'lôp,"bầu, cây bầu",Noun
1744,tơm,tảng,Noun
1745,tơm ',gốc,Noun
1746,tơmam ram,"của cải, hàng hóa, đồ vật",Noun
1747,tơmang,thăm,Verb
1748,tơmăn,"bằng, phẳng",Adjective
1749,tơmăn 'ba,đồng lúa,Noun
1750,tơme rong,chăm sóc,Verb
1751,tơmo,"đá, hòn đá",Noun
1752,tơmoi,khách,Noun
1753,tơmon,nắm,Verb
1754,tơmông,trống,Adjective
1755,tơmuh,"búa, cái búa",Noun
1756,tơmunh,"về sau, sau này",Preposition
1757,tơmưt,"đút, đút vào",Verb
1758,tơ'măk,vắt lên,Verb
1759,tơneh,đu đủ,Noun
1760,tơngăng,thuốc độc,Noun
1761,tơngiêt,đông,Adjective
1762,tơnglaih jul,"hạ, hạ xuống",Verb
1763,tơnglơ̆i,"thế, thế còn",Pronoun
1764,tơnglơ̆p,"hút, cái nút",Verb
1765,tơngơih,"rên, rên rỉ",Verb
1766,tơnhul tơ teh,"nhào, nhào xuống",Verb
1767,tơniêu,"thận, quả thận",Noun
1768,tơnŏ,"nóng, ấm",Adjective
1769,tơnŏ tơnang,ấm áp,Adjective
1770,tơnơl,nền,Noun
1771,tơnơm,"bụi, khóm",Noun
1772,tơnuh,bếp,Noun
1773,tơnuh ŭnh,tro bếp,Noun
1774,"tơ'ngiêt, lơngoh",lạnh,Adjective
1775,tơ'nglaih,"buông, thả",Verb
1776,tơ-ơ̆u,đây,Pronoun
1777,tơpa,"ba ba, con ba ba",Noun
1778,tơpal,cối,Noun
1779,tơpang jưng,bàn chân,Noun
1780,tơpang ti,bàn tay,Noun
1781,tơpanh,mép,Noun
1782,tơpă,"lắm, rất",Interjection/Exclamation
1783,tơpăt,thẳng,Adjective
1784,tơpăt klak,"chân thật, thật thà",Adjective
1785,tơpăt tơpe,thắng tắp,Adjective
1786,tơpĕnh,"nhảy vào, lao vào",Verb
1787,tơplih,đổi,Verb
1788,tơploh,"nhảy, quẫy",Verb
1789,tơplŏk,"bong, bong ra",Verb
1790,"tơplŏk, tơplơ̆","tốc, tốc lên",Verb
1791,tơpơh,bảy - 7,Numeral/Quantity
1792,tơprah,tràn,Verb
1793,"tơprah, tơlang","tỏa, tỏa ra",Verb
1794,tơpu,"ổ, tổ",Noun
1795,tơpul,đàn,Noun
1796,"tơpul, tơpôl",bầy,Noun
1797,tơsĭ,biển,Noun
1798,tơsu,rối,Verb
1799,tơtam,kịp thời,Adjective
1800,tơ to,kia,Pronoun
1801,tơtông,"trộm, cướp",Verb
1802,tơsĕnh,"tết, bện",Verb
1803,tơtra pơđam,bàn bạc,Verb
1804,tơtreh,vẩy,Noun
1805,tơtuanh,xoắn,Adjective
1806,tơtuh,giữ,Verb
1807,tơwang,vòng quanh,Verb
1808,tơwĕch,méo,Adjective
1809,tơwĕch tơwŏch,méo mó,Adjective
1810,tơwih,nảy,Verb
1811,tơwing,"quật, vụt",Verb
1812,tơwơih,khểu,Verb
1813,tơyăn,mướp,Noun
1814,tơyăn tăng,mướp đắng,Noun
1815,tơyơ,"đâu, đâu",Pronoun
1816,tơ'yung,phất,Verb
1817,tơ'yung sŏk,xù lông,Verb
1818,tơ-uh sơhngơ̆m,hà hơi,Verb
1819,tơ̆k bơk,giữa,Noun
1820,tơ̆k bơ̆k,lòng,Noun
1821,"tơ̆k ŭnh , soh",thắp,Verb
1822,tơ̆l,"đủ, đầy đủ, đáp, thưa, vang",Adjective
1823,tơ̆l tai,đầy đủ,Adjective
1824,tơ̆m,đâm,Verb
1825,"tơ̆ng, mơtơ̆ng","nếu, nếu như",Adverb
1826,tơ̆p,quyển,Noun
1827,tơ̆t ti,găng tay,Noun
1828,trach điêu,trách,Verb
1829,trah,đẽo,Verb
1830,tram xa,trạm xá,Noun
1831,"trang, long trang","lau, cây lau",Noun
1832,trăp,nặng,Adjective
1833,trău,khoai môn,Noun
1834,triêng,cần,Verb
1835,trom,"vòi, cái vòi",Noun
1836,trong,"đường, đường đi",Noun
1837,"trong glung, trong tĩh",đường cái,Noun
1838,trong uôh,đường mòn,Noun
1839,trong đak,rãnh nước,Noun
1840,trong kial,luồng gió,Noun
1841,trong pham,mạch máu,Noun
1842,trŏ,"đúng, trúng",Adjective
1843,trŏch,vót,Verb
1844,trôk,bùn,Noun
1845,trôm,"lỗ, hang",Verb
1846,trôm đon,lỗ tai,Noun
1847,trôm gôp,động,Noun
1848,trôm hlŏng đak,cống,Noun
1849,trôm muh,lỗ mũi,Noun
1850,trơi 'bŏi,môi,Noun
1851,truh,"đến, tới",Verb
1852,trương,trường,Noun
1853,tu,nguồn,Noun
1854,tuaih,"bồ, sọt, cái gùi",Noun
1855,tuanh đak,vắt nước,Verb
1856,tuh,húc,Verb
1857,"tuh , hling",đổ,Verb
1858,"tuh 'bơt , hling 'bơt",chắt,Noun
1859,tuk,"bỏ, bỏ đi, trừ",Verb
1860,tuk kơso,bỏ dở,Verb
1861,tuk mŏm,cai sữa,Verb
1862,tul,đấm,Verb
1863,tung,khiêng,Verb
1864,tuôch,cuối,Adjective
1865,tuôi,vác,Verb
1866,tuôih,nông,Noun
1867,tuôt,nhị,Noun
1868,tuơ̆n,tuần,Noun
1869,tưk khưk,tắc kè,Noun
1870,tưng,đọng,Verb
1871,uôl iêl,sạch sẽ,Adjective
1872,ŭnh,lửa,Noun
1873,ŭnh hnam,gia đình,Noun
1874,ŭnh sa bri,cháy rừng,Verb
1875,uĕi,ngồi,Verb
1876,uĕi ha,"nhàn, rỗi",Adjective
1877,uĕi kah,đứng lại,Verb
1878,uĕi lơnŭn,trần truồng,Adjective
1879,uĕi sreh,ngồi yên,Verb
1880,uĕi teh,ngồi bệt,Verb
1881,ư,"cụ, bố mẹ của ông bà",Noun
1882,ư̆,ừ,Interjection/Exclamation
1883,ư̆m,âm u,Adjective
1884,wal,nhện,Noun
1885,waih,khua,Verb
1886,wal,bữa,Noun
1887,wang akŏm,lùa,Verb
1888,wang rôp,"vây, bao vây",Verb
1889,wau,ào,Verb
1890,wau wau,ào ào,Adjective
1891,wă,"muốn, yêu",Verb
1892,wă,định,Verb
1893,wă nưih,"kịp, kịp thời",Adjective
1894,wă 'moih,ham muốn,Verb
1895,wă tep,buôn ngủ,Adjective
1896,wăi,"giữ, bảo vệ",Verb
1897,"wăi rong, jư",bảo vệ,Verb
1898,wăk,chòi,Noun
1899,wăl,"quàng, choàng",Verb
1900,wăng,"liễm, cái liểm",Noun
1901,"we, chih",vẽ,Verb
1902,weh,lệch,Adjective
1903,"weh, sơlah",rẽ,Verb
1904,wêch,văn,Noun
1905,wêch 'long,ngọn cây,Noun
1906,wêl wêl,vang vọng,Adjective
1907,wêng trong,lạc đường,Verb
1908,wi 'ban sa,uỷ ban xã,Noun
1909,"wih, sưt, priêu",về,Preposition
1910,wih piêu,trở lại,Verb
1911,wih rŏng,rút lui,Verb
1912,wơih,"và, vẫy , quờ",Adverb
1913,wơl,"khoắng, đảo, khuấy .",Verb
1914,wơ̆l,rộng,Adjective
1915,yaih,dỡ,Verb
1916,yaih tŭk,phá,Verb
1917,yak,"bước, bước chân",Verb
1918,"yak, yak năm","bước, bước đi",Verb
1919,"yan, khĕi",mùa,Noun
1920,yan 'mi,mùa mưa,Noun
1921,yan lơngưp,mùa thu,Noun
1922,yan puih,mùa xuân,Noun
1923,yan tŏ phang,"hạ, mùa hạ",Noun
1924,"yan tơngiêt, khăi tơngiêt",mùa đông,Noun
1925,yang,"thần, thánh",Noun
1926,yang đak,thần nước,Noun
1927,yang kông,thần núi,Noun
1928,yang plĕnh,thần trời,Noun
1929,yap,đếm,Verb
1930,yă,bà,Noun
1931,yă aguôt,bọ cạp,Noun
1932,yă 'bok,tổ tiên,Noun
1933,"yă kơsŏng, yă kơtĕi","tép, tôm",Noun
1934,yă 'ngok,"nhộng, con nhộng",Verb
1935,yă ư,cụ bà,Noun
1936,yă yai,"yểng, con yểng",Noun
1937,yă yang,tiên,Noun
1938,yăh,nếu,Adverb
1939,yok ja,tro tranh,Noun
1940,yok 'long ŭnh,tro củi,Noun
1941,yol,"dại, bệnh dại",Verb
1942,yŏng,mái,Noun
1943,yŏng kră sut,ong chúa,Noun
1944,yôm,ướt,Adjective
1945,yôm,thấm,Verb
1946,yôm yŏch,ướt sũng,Adjective
1947,yôp,nhoẻn cười,Verb
1948,yơh,nhé,Interjection/Exclamation
1949,yơl,"cao, chiều cao",Noun
1950,yuăn,"Kinh, dân tộc Kinh",Noun
1951,yuh ŭnh,gừng,Noun
1952,yui,"râm, bóng râm, bóng",Noun
1953,yul,yếm,Noun
1954,yuô lơnhư,vì sao,Adverb
1955,yuô yưng,vì sao,Adverb
1956,yuô… kơna…,vì… nên…,Adverb
1957,yưm,"màu tím, bầm tím",Noun
1958,yưng,"gì, cái gì",Pronoun
1959,yem,chúng mày — nhiều người,Pronoun
1960,yĕr,gà,Noun
1961,yĕr bri,gà rừng,Noun
1962,yĕr tơ'mông,gà trống,Noun
1963,yĕr yŏng,gà mái,Noun
1964,yoh ai,nhục,Adjective
1965,yol,chảy,Verb
1966,yol blai,"tuôn, tuôn ra",Verb
1967,yŏk,"lấy, nhận",Verb
1968,yŏk adrol,"vay, mượn",Verb
1969,yŏk 'bơt,"bớt, bớt đi",Verb
1970,yŏk dŏng,vớt,Verb
1971,yŏk jên ruôt tơmam,tiêu tiền,Verb
1972,yŏk 'long ŭnh,lấy củi,Verb
1973,"yŏk pơnưp, 'yŏk chơtŭ",vờn,Verb
1974,"yŏk tơlêch, 'yŏk tơgah",lấy ra,Verb
1975,yôp,mút,Verb
1976,yôt gơdung,"oằn, oằn xuống",Verb
1977,yvung,đứng dậy,Verb
1978,yung đưng tep,ngủ dậy,Verb
1979,yung hral,thức giấc,Verb
1980,yŭ,"sợ, hoảng hốt",Adjective
