No.,Bahnaric,Vietnamese,PoS tag
264,bok kla kơđong,"báo, con báo",Verb
265,bok kla pơhum,"hổ, con hổ",Noun
266,"bok ư, 'bok y",cụ ông,Noun
267,"bom, beh","đụng, chạm",Verb
268,bŏ,má,Noun
269,bot ti,thò tay,Verb
270,bot,đeo,Verb
271,"bot , amơt",mò,Verb
272,bô đôi,bộ đội,Noun
273,bônh,bện,Verb
274,bơ,bờ,Noun
275,"bơ̆l, 'bơ̆r","miệng, mồm",Noun
276,"bơ̆l, 'bơ̆r, nơ̆r","tiếng nói, ngôn ngữ",Noun
277,bơ̆I angiêng,tiếng kêu,Noun
278,bơ̆i Bơhnar,tiếng Ba na,Noun
279,bơ̆l đon,"tính, tính tình",Noun
280,bơ̆l kơkuh,lời chào,Noun
281,bơ̆l krau,tiếng gọi,Noun
282,bơ̆l nhĩm,tiếng khóc,Noun
283,bơ̆l pơđam,trò chuyện,Verb
284,bơ̆l pơma,"giọng nói, tiếng nói",Noun
285,bơ̆t,"uốn, nắn",Verb
286,brôm,gầm sàn,Noun
287,brông 'brang,sặc sỡ,Adjective
288,brơh,"hại, hãm hại",Verb
289,brơ̆u,"vàng, màu vàng",Noun
290,brơ̆u 'brơt,vàng khè,Adjective
291,brữ,xấu,Adjective
292,brữ kơnĕ,xấu xa,Adjective
293,buh,"nung, nướng, thiêu, thui, đốt",Verb
294,bui nhui,bùi nhùi,Adjective
295,buih,men,Noun
296,bum,củ,Noun
297,bum bri,củ mài,Noun
298,bunh 'bơ̆k,khoai lang,Noun
299,bum ngu,đơn giản,Adjective
300,buôi,buổi,Noun
301,bŭ,"chôn, vùi, lấp",Verb
302,bưp 'bưp,rung rinh,Verb
303,chai,vùng đó,Noun
304,"chang,jang",bận,Adjective
305,chau,chào,Verb
306,chă,"kiếm, tìm",Verb
307,chă hming,chạy chữa,Verb
308,chă jơluk jơlăk,Sục sạo,Verb
309,chă ruih,soát,Verb
310,chă wă alê̆,tìm hiểu,Verb
311,chăI,chẻ,Verb
312,chăm Hroi,Chăm Hroi,Adjective
313,chăng,"kệ, mặc kệ",Verb
314,chen,"chén, li",Noun
315,cheu,"khoét, ngoáy, dùi",Verb
316,chĕp,"dẫn, dắt, bưng, xách, bê",Verb
317,chĕp tơ'nhơi,"nhấc, nhấc lên",Verb
318,chê,"chê, khăn, vải",Noun
319,chiêm,"chèn, chêm",Verb
320,chiêm,"cài, gài, dắt",Verb
321,chiêu,"chiếu, cái chiếu",Noun
322,chiêŭ,chiếu phim,Verb
323,chih,viết,Verb
324,chih akău,xăm mình,Verb
325,ching,cái chiêng,Noun
326,choh,mổ,Verb
327,chop,"rình, rón rén",Verb
328,chôh,nở,Verb
